Date,진보_합계,보수_합계,중도_합계,더불어민주당,조국혁신당,정의당계,기타진보,국민의힘,개혁신당,새로운미래,국민의당,태도유보
2020년 09월 3주,43,27,30,36,0,7,0,27,0,0,0,30
2020년 10월 2주,41,21,38,35,0,6,0,21,0,0,0,38
2020년 10월 4주,40,21,39,35,0,5,0,21,0,0,0,39
2020년 11월 1주,43,20,37,36,0,7,0,20,0,0,0,37
2020년 11월 3주,42,22,36,35,0,7,0,22,0,0,0,36
2020년 12월 1주,41,22,37,34,0,7,0,22,0,0,0,37
2020년 12월 3주,39,22,30,34,0,5,0,22,0,0,0,30
2021년 01월 1주,41,23,26,35,0,6,0,23,0,0,0,26
2021년 01월 3주,41,21,29,35,0,6,0,21,0,0,0,29
2021년 02월 1주,43,20,37,34,0,4,5,20,0,0,4,33
2021년 02월 3주,39,23,30,34,0,5,0,23,0,0,5,25
2021년 02월 4주,40,20,36,35,0,5,0,20,0,0,4,32
2021년 03월 1주,40,21,34,34,0,6,0,21,0,0,4,30
2021년 03월 2주,36,26,34,31,0,5,0,26,0,0,5,29
2021년 03월 3주,35,26,33,30,0,5,0,26,0,0,5,28
2021년 03월 4주,34,27,35,28,0,6,0,27,0,0,6,29
2021년 03월 5주,37,29,29,33,0,4,0,29,0,0,4,25
2021년 04월 1주,38,28,30,32,0,6,0,28,0,0,4,26
2021년 04월 2주,35,29,34,30,0,5,0,29,0,0,6,28
2021년 04월 3주,34,27,36,30,0,4,0,27,0,0,5,31
2021년 04월 4주,34,26,36,28,0,6,0,26,0,0,6,30
2021년 05월 1주,35,29,31,29,0,6,0,29,0,0,4,27
2021년 05월 2주,34,27,29,28,0,6,0,27,0,0,0,29
2021년 05월 3주,39,23,36,31,0,4,4,23,0,0,5,31
2021년 05월 4주,35,26,34,30,0,5,0,26,0,0,5,29
2021년 06월 1주,37,28,27,31,0,6,0,28,0,0,0,27
2021년 06월 2주,31,30,34,27,0,4,0,30,0,0,5,29
